FID,buurtcode,personenautos_per_huishouden
cbs_buurten_2014.4285,BU03630445,0.4
cbs_buurten_2014.4286,BU03630446,0.7
cbs_buurten_2014.4250,BU03630214,0.3
cbs_buurten_2014.4251,BU03630215,0.5
cbs_buurten_2014.4252,BU03630216,0.3
cbs_buurten_2014.4253,BU03630217,0.3
cbs_buurten_2014.4254,BU03630218,0.3
cbs_buurten_2014.4255,BU03630219,0.3
cbs_buurten_2014.4256,BU03630220,0.4
cbs_buurten_2014.4257,BU03630221,0.3
cbs_buurten_2014.4236,BU03630000,0.2
cbs_buurten_2014.4258,BU03630222,0.5
cbs_buurten_2014.4259,BU03630236,0.6
cbs_buurten_2014.4283,BU03630426,0.3
cbs_buurten_2014.4245,BU03630009,0.4
cbs_buurten_2014.4237,BU03630001,0.3
cbs_buurten_2014.4238,BU03630002,0.5
cbs_buurten_2014.4239,BU03630003,0.5
cbs_buurten_2014.4240,BU03630004,0.3
cbs_buurten_2014.4241,BU03630005,0.4
cbs_buurten_2014.4242,BU03630006,0.3
cbs_buurten_2014.4243,BU03630007,0.4
cbs_buurten_2014.4244,BU03630008,0.4
cbs_buurten_2014.4246,BU03630110,-99999997
cbs_buurten_2014.4247,BU03630111,-99999997
cbs_buurten_2014.4248,BU03630212,0.2
cbs_buurten_2014.4249,BU03630213,0.4
cbs_buurten_2014.4260,BU03630237,0.4
cbs_buurten_2014.4261,BU03630238,0.4
cbs_buurten_2014.4262,BU03630239,0.4
cbs_buurten_2014.4263,BU03630240,0.4
cbs_buurten_2014.4264,BU03630241,0.3
cbs_buurten_2014.4265,BU03630242,0.4
cbs_buurten_2014.4266,BU03630243,0.4
cbs_buurten_2014.4267,BU03630375,-99999997
cbs_buurten_2014.4268,BU03630376,0.5
cbs_buurten_2014.4269,BU03630377,0.5
cbs_buurten_2014.4270,BU03630378,0.6
cbs_buurten_2014.4271,BU03630379,0.9
cbs_buurten_2014.4272,BU03630380,1.3
cbs_buurten_2014.4273,BU03630381,0.6
cbs_buurten_2014.4274,BU03630382,0.6
cbs_buurten_2014.4275,BU03630383,0.8
cbs_buurten_2014.4284,BU03630444,0.5
cbs_buurten_2014.4276,BU03630384,0.9
cbs_buurten_2014.4277,BU03630385,0.5
cbs_buurten_2014.4278,BU03630386,0.5
cbs_buurten_2014.4279,BU03630387,0.5
cbs_buurten_2014.4280,BU03630388,0.9
cbs_buurten_2014.4281,BU03630424,0.3
cbs_buurten_2014.4282,BU03630425,0.4
cbs_buurten_2014.4287,BU03630447,0.7
cbs_buurten_2014.4288,BU03630448,0.5
cbs_buurten_2014.4289,BU03630449,0.8
cbs_buurten_2014.4290,BU03630450,0.4
cbs_buurten_2014.4291,BU03630452,0.5
cbs_buurten_2014.4292,BU03630453,0.4
cbs_buurten_2014.4293,BU03630454,0.4
cbs_buurten_2014.4294,BU03630459,1.1
cbs_buurten_2014.4295,BU03630490,0.9
cbs_buurten_2014.4296,BU03630491,0.7
cbs_buurten_2014.4297,BU03630527,0.4
cbs_buurten_2014.4298,BU03630528,0.3
cbs_buurten_2014.4299,BU03630529,0.3
cbs_buurten_2014.4300,BU03630530,0.3
cbs_buurten_2014.4301,BU03630531,0.3
cbs_buurten_2014.4302,BU03630532,0.4
cbs_buurten_2014.4303,BU03630533,0.6
cbs_buurten_2014.4304,BU03630534,0.2
cbs_buurten_2014.4305,BU03630535,0.7
cbs_buurten_2014.4309,BU03630557,0.5
cbs_buurten_2014.4306,BU03630551,0.7
cbs_buurten_2014.4307,BU03630555,0.5
cbs_buurten_2014.4308,BU03630556,0.5
cbs_buurten_2014.4310,BU03630558,0.8
cbs_buurten_2014.4311,BU03630574,-99999997
cbs_buurten_2014.4312,BU03630660,0.5
cbs_buurten_2014.4313,BU03630661,0.4
cbs_buurten_2014.4314,BU03630662,0.7
cbs_buurten_2014.4315,BU03630663,0.6
cbs_buurten_2014.4316,BU03630664,0.9
cbs_buurten_2014.4317,BU03630665,0.7
cbs_buurten_2014.4321,BU03630669,0.6
cbs_buurten_2014.4318,BU03630666,0.8
cbs_buurten_2014.4319,BU03630667,1
cbs_buurten_2014.4320,BU03630668,0.6
cbs_buurten_2014.4322,BU03630670,0.7
cbs_buurten_2014.4323,BU03630671,1.4
cbs_buurten_2014.4324,BU03630672,-99999997
cbs_buurten_2014.4325,BU03630673,1.2
cbs_buurten_2014.4326,BU03630792,-99999997
cbs_buurten_2014.4327,BU03630793,0.6
cbs_buurten_2014.4328,BU03630794,0.5
cbs_buurten_2014.4329,BU03630795,0.6
cbs_buurten_2014.4330,BU03630796,0.5
cbs_buurten_2014.4331,BU03630797,0.6
cbs_buurten_2014.4332,BU03630798,1.1
